id,year,era,era_year,exam,subject,topic,question_no,statement,choice1,choice2,choice3,choice4,choice5,answer,explanation,law_citations,difficulty,tags,source_page,updated_at
r04-001,2022,令和,4,不動産鑑定士 短答,不動産に関する行政法規,土地基本法,1,"土地基本法に関する次の記述のうち、誤っているものはどれか。","国は、適正な地価の形成及び課税の適正化に資するため、土地の正常な価格を公示するとともに、公的土地評価について相互の均衡と適正化が図られるように努めるものとされている。","土地基本法は、土地についての基本理念を定めるものであり、土地に関する施策の基本となる事項を定めることにより、地域の活性化及び安全で持続可能な社会の形成を図り、国民生活の安定向上と国民経済の健全な発展に寄与することを目的とする。","土地については、公共の福祉を優先させるものとすることを定めている。","国民は、土地の利用及び管理並びに取引に当たっては、土地についての基本理念に従わなければならないとされている。","政府は、毎年、国会に、不動産市場、土地の利用及び管理その他の土地に関する動向及び政府が土地に関して講じた基本的な施策に関する報告を提出しなければならないとされている。",4,,,,,,2,2025-11-08T00:00:00Z
r04-002,2022,令和,4,不動産鑑定士 短答,不動産に関する行政法規,不動産の鑑定評価に関する法律,2,"不動産の鑑定評価に関する法律に関する次の記述のうち、正しいものはどれか。","偽りその他不正の手段により不動産鑑定士の登録を受けたことが判明し登録の消除を受けた者は、その処分の日から １ 年が経過すれば、不動産鑑定士の登録を受けることができる。","不動産鑑定士が不当な鑑定評価等を行ったことを疑うに足りる事実があるときは、何人も、国土交通大臣又は当該不動産鑑定士がその業務に従事する不動産鑑定業者が登録を受けた都道府県知事に対し、資料を添えてその事実を報告し、適当な措置をとるべきことを求めることができる。","不動産鑑定士ではない不動産鑑定業者は、その事務所ごとに専任の不動産鑑定士を置かなければならず、不動産鑑定業者は、これに抵触するに至った事務所があるときは、４ 週間以内に必要な措置をとらなければならない。","不動産鑑定業者は、鑑定評価書の写しを ３ 年間保存しなければならない。","国土交通大臣又は都道府県知事は、不動産鑑定業者の登録の有効期間満了の際、更新の登録申請がなかったことを理由に、当該不動産鑑定業者の登録を消除することはできない。",2,,,,,,2,2025-11-08T00:00:00Z
r04-003,2022,令和,4,不動産鑑定士 短答,不動産に関する行政法規,不動産の鑑定評価に関する法律,3,"不動産の鑑定評価に関する法律に関する次のイからホまでの記述のうち、正しいものの組合せはどれか。\nイ　不動産鑑定士は、業として、不動産の客観的価値に作用する諸要因に関して調査又は分析を行うことはできるが、不動産の投資に関する相談に応じることはできない。\nロ　国土交通大臣又は都道府県知事は、不動産鑑定業者登録簿を公衆の閲覧に供さなければならない。\nハ　不動産鑑定士は、業務に必要な知識及び技能の維持向上のために、５ 年ごとに講習を受講しなければならない。\nニ　不動産鑑定士が死亡した場合、その相続人は、当該不動産鑑定士の死亡の事実を知った日から 30 日以内に、国土交通大臣にその旨を届け出なければならない。\nホ　不動産鑑定業者に対し監督処分をした旨の公告は、登録の消除の処分の場合についてのみ行われ、業務の停止の処分の場合は公告されない。","イとロ","イとハ","ロとニ","ハとホ","ニとホ",3,,,,,,3,2025-11-08T00:00:00Z
r04-004,2022,令和,4,不動産鑑定士 短答,不動産に関する行政法規,地価公示法,4,"地価公示法に関する次の記述のうち、誤っているものはどれか。","土地収用法その他の法律によって土地を収用することができる事業を行う者は、公示区域内の土地を当該事業の用に供するため取得する場合において、当該土地の取得価格を定めるときは、公示価格を規準としなければならない。","公示区域内の土地において、収用する土地に対する補償金の額は、土地収用法に基づく事業認定の告示の時における相当な価格を算定するときは、公示価格を規準として算定した当該土地の価格を考慮しなければならない。","土地鑑定委員会が行う標準地の価格等の公示には、標準地の地積及び形状についての事項は含まれない。","都市及びその周辺の地域等において、土地の取引を行う者は、取引の対象土地に類似する利用価値を有すると認められる標準地について公示された価格を指標として取引を行なうよう努めなければならない。","この法律は、都市及びその周辺の地域等において、標準地を選定し、その正常な価格を公示することにより、適正な地価の形成に寄与することを目的とするとされている。",3,,,,,,4,2025-11-08T00:00:00Z
r04-005,2022,令和,4,不動産鑑定士 短答,不動産に関する行政法規,国土利用計画法,5,"国土利用計画法（以下この問において「法」という。）に関する次のイからホまでの記述のうち、誤っているものの組合せはどれか。\nイ　Ａは、自らが所有する都市計画法第 ７ 条第 １ 項に規定する市街化区域に所在する甲土地（ 7,000 平方メートル）をＢに贈与した。この場合、Ｂは法第 23 条第 １ 項の規定による届出（以下この問において「事後届出」という。）は不要である。\nロ　Ｃは、一団の土地として、都市計画法第 ７ 条第 １ 項に規定する市街化調整区域に所在するＤ所有の乙土地（ 1,500 平方メートル）とＥ所有の丙土地（ 1,000 平方メートル）を購入した。この場合、Ｃは事後届出を要する。\nハ　都道府県知事は、事後届出に係る土地に関する権利の移転後における土地の利用目的に従った土地利用が土地利用基本計画その他の土地利用に関する計画に適合せず、当該土地を含む周辺の地域の適正かつ合理的な土地利用を図るために著しい支障があると認めるときは、土地利用審査会の意見を聴いて、その届出をした者に対し、その届出に係る土地の利用目的について必要な変更をすべきことを勧告することができる。\nニ　都道府県知事は、当該都道府県の区域のうち、地価が急激に上昇し、又は上昇するおそれがあり、これによって適正かつ合理的な土地利用の確保が困難となるおそれがあると認められる区域を注視区域として指定することができ、注視区域の指定の期間は、公告があった日から起算して 10 年以内で定めるものとする。\nホ　法第 32 条の規定により遊休土地を買い取った地方公共団体等は、土地利用基本計画その他の土地利用に関する計画に従って当該土地の有効かつ適切な利用を図らなければならない。","イとハ","イとニ","ロとニ","ロとホ","ハとホ",3,,,,,,4,2025-11-08T00:00:00Z
r04-006,2022,令和,4,不動産鑑定士 短答,不動産に関する行政法規,都市計画法,6,"都市計画法に関する次の記述のうち、誤っているものはどれか。","準住居地域は、道路の沿道としての地域の特性にふさわしい業務の利便の増進を図りつつ、これと調和した住居の環境を保護するため定める地域とされている。","高度利用地区は、建築物の容積率の最高限度及び最低限度、建築物の建蔽率の最高限度、建築物の建築面積の最低限度並びに壁面の位置の制限を定める地区とされている。","用途地域には、都市計画に、当該地域内の建築物の容積率を定めるものとされている。","高度地区には、都市計画に、当該地区内の建築物の建蔽率を定めるものとされている。","商業地域には、都市計画に、高層住居誘導地区を定めることができない。",4,,,,,,5,2025-11-08T00:00:00Z
r04-007,2022,令和,4,不動産鑑定士 短答,不動産に関する行政法規,都市計画法,7,"都市計画法に関する次の記述のうち、正しいものはどれか。","都市計画区域には、都市計画に、市街化区域と市街化調整区域との区分を定めなければならない。","市街化区域には、用途地域を定めなくてもよい。","市街化調整区域には、都市計画に、市街地開発事業を定めることができる。","都市計画施設の区域又は市街地開発事業の施行区域内において建築物の建築をしようとする者は、原則として、都道府県知事（市の区域内にあっては、当該市の長）の許可を受けなければならない。","都道府県が定めた都市計画が、市町村が定めた都市計画と抵触するときは、その限りにおいて、市町村が定めた都市計画が優先するものとされている。",4,,,,,,5,2025-11-08T00:00:00Z
r04-008,2022,令和,4,不動産鑑定士 短答,不動産に関する行政法規,都市計画法,8,"次のイからホまでの記述のうち、準都市計画区域において、都市計画に定めることができないものの組合せはどれか。\nイ　用途地域\nロ　高度利用地区\nハ　特定街区\nニ　景観地区\nホ　伝統的建造物群保存地区","イとロ","イとニ","ロとハ","ハとホ","ニとホ",3,,,,,,5,2025-11-08T00:00:00Z
r04-009,2022,令和,4,不動産鑑定士 短答,不動産に関する行政法規,都市計画法,9,"都市計画法に関する次の記述のうち、開発許可を受ける必要がある開発行為はどれか。ただし、許可を受ける必要がある開発行為の規模については、条例による定めはないものとする。","市街化調整区域において、農業を営む者の居住の用に供する建築物の建築の用に供する目的で行われる 300 平方メートルの開発行為","区域区分が定められていない都市計画区域において、漁港漁場整備法に規定する漁港施設の建築の用に供する目的で行われる 4,000 平方メートルの開発行為","準都市計画区域において、立体駐車場の建築の用に供する目的で行われる 2,000 平方メートルの開発行為","市街化区域において、社会福祉法による社会福祉事業の用に供する施設である建築物の建築の用に供する目的で行われる 1,500 平方メートルの開発行為","都市計画区域及び準都市計画区域外の区域内において、鉄道事業法に規定する鉄道事業で一般の需要に応ずるものの用に供する施設である建築物の建築の用に供する目的で行われる 15,000 平方メートルの開発行為",4,,,,,,6,2025-11-08T00:00:00Z
r04-010,2022,令和,4,不動産鑑定士 短答,不動産に関する行政法規,都市計画法,10,"都市計画法に関する次のイからホまでの記述のうち、誤っているものの組合せはどれか。ただし、以下の記述のうち、「都道府県知事」は指定都市、中核市又は施行時特例市の長を含むものとする。\nイ　5,000 平方メートルの開発行為について、騒音、振動等による環境の悪化の防止上必要な緩衝帯が配置されるように設計が定められていない場合、都道府県知事は開発許可をしてはならない。\nロ　開発許可を受けた者は、当該開発行為に関する設計の変更のうち国土交通省令で定める軽微な変更をしたときは、遅滞なく、その旨を都道府県知事に届け出なければならない。\nハ　都道府県知事は、用途地域の定められていない土地の区域における開発行為について開発許可をする場合に必要があると認めるときは、当該開発区域内の土地について、建築物の高さの制限を定めることができる。\nニ　市街化調整区域のうち開発許可を受けた開発区域以外の区域内においては、非常災害のため必要な応急措置として行う建築物の新築について、都道府県知事の許可を受けずに行うことができる。\nホ　開発許可を受けた者から当該開発区域内の土地の所有権を取得した者は、当該開発許可を受けた者が有していた当該開発許可に基づく地位を承継しなければならない。","イとハ","イとホ","ロとハ","ロとニ","ニとホ",2,,,,,,6,2025-11-08T00:00:00Z
