id,year,era,era_year,exam,subject,topic,question_no,statement,choice1,choice2,choice3,choice4,choice5,answer,explanation,law_citations,difficulty,tags,source_page,updated_at
r07-041,2025,令和,7,不動産鑑定士 短答,不動産の鑑定評価に関する理論,不動産とその価格,1,"不動産とその価格の特徴に関する次の記述のうち、誤っているものはどれか。","不動産は、その土地の持つ諸特性に照応する特定の自然的条件及び人文的条件を与件\nとして利用され、その社会的及び経済的な有用性を発揮するものである。そして、これ\nらの諸条件の変化に伴って、土地そのものだけではなく、それを基盤とする不動産の利\n用形態並びにその社会的及び経済的な有用性は変化する。","一般に、交換の対価としての不動産の経済価値は価格として表示されるが、市場性を\n有しない不動産についても、その利用現況等を前提とした価格を求める場合がある。","不動産の価格は、その不動産に関する所有権、賃借権等の権利の対価又は経済的利益\nの対価であり、また、二つ以上の権利利益が同一の不動産の上に存する場合には、それ\nぞれの権利利益について、相互関係なくその価格が形成され得る。","不動産の属する地域は固定的なものではなくて、常に変化の過程にあるものであるか\nら、不動産の利用形態が最適なものであるかどうか、仮に現在最適なものであっても、\n時の経過に伴ってこれを持続できるかどうか、これらは常に検討されなければならない。","不動産の現実の取引価格等は、取引等の必要に応じて個別的に形成されるのが通常で\nあり、しかもそれは個別的な事情に左右されがちのものであって、このような取引価格\n等から不動産の適正な価格を見出すためには、不動産鑑定士による鑑定評価活動が必要\nとなる。",3,,,,,,2,2025-11-08T00:00:00Z
r07-042,2025,令和,7,不動産鑑定士 短答,不動産の鑑定評価に関する理論,不動産鑑定士の判断,2,"不動産鑑定士が行う判断に関する次のイからホまでの記述のうち、誤っている\nものをすべて掲げた組合せはどれか。\nイ 対象不動産について求める価格又は賃料の種類は、依頼目的に応じて依頼者が判断す\nるものであり、不動産鑑定士が行う判断ではない。\nロ 依頼者から提供された資料について、その一部のみを採用したが、その他の関連諸資\n料の収集整理が適切であり、これらの諸資料の分析解釈の練達の程度が高い場合、対象\n不動産の経済価値に関する最終判断に到達しうる。\nハ 対象不動産の価格への影響の程度を判断するための事実の確認が困難な特定の価格形\n成要因が存するときは、調査範囲等条件を設定できる場合がある。\nニ 高度な知識と豊富な経験と的確な判断力とが有機的に統一されて、初めて的確な鑑定\n評価が可能となるのであるから、不動産鑑定士は、不断の勉強と研鑚とによってこれを\n体得しなければならない。\nホ 不動産鑑定評価基準に記載されている「不動産の価格に関する諸原則」は、不動産の\n経済価値に関する適切な最終判断に到達するために活用すべきものであるが、それぞれ\nは相互に関連しないものである。","イとロ","イとホ","ロとハ","ハとニ","ニとホ",2,,,,,,3,2025-11-08T00:00:00Z
r07-043,2025,令和,7,不動産鑑定士 短答,不動産の鑑定評価に関する理論,地域の種別,3,"不動産鑑定評価基準及び同運用上の留意事項に記載されている地域の種別に関\nする次のイからホまでの記述のうち、誤っているものをすべて掲げた組合せはどれか。\nイ 宅地地域は、住宅地域、商業地域、工業地域等に細分される。\nロ 住宅地域、商業地域、工業地域等については、その規模、構成の内容、機能等に応じ\nた細分化が考えられる。\nハ 農地地域とは、農業生産活動のうち耕作の用に供されることが、物理的、社会的、経\n済的及び法令的観点からみて合理的と判断される地域をいう。\nニ 住宅地域の細分化された分類には、在来の農家住宅等を主とする集落地域及び市街地\n的形態を形成するに至らない住宅地域も考えられる。\nホ 商業地域のうち、準高度商業地域は、主として行政機関、企業、金融機関等の事務所\nが高度に集積している地域をいう。","イとロ","イとホ","ロとニ","ハとニ","ハとホ",5,,,,,,4,2025-11-08T00:00:00Z
r07-044,2025,令和,7,不動産鑑定士 短答,不動産の鑑定評価に関する理論,個別的要因,4,"次のイからホまでの記述のうち、不動産鑑定評価基準上、主なものとして例示\nされる土地の個別的要因として、正しいものをすべて掲げた組合せはどれか。\nイ 「接面街路の系統及び連続性」については、商業地においては主な個別的要因として\n例示されているが、住宅地においては主な個別的要因として例示されていない。\nロ 「地勢、地質、地盤等」については、住宅地、商業地、工業地のそれぞれにおいて主\nな個別的要因として例示されている。\nハ 工業地においては、住宅地及び商業地と同様、「情報通信基盤の利用の難易」が主な\n個別的要因として例示されているが、住宅地及び商業地と異なり、「隣接不動産等周囲\nの状態」については、主な個別的要因として例示されていない。\nニ 「日照、通風及び乾湿」については、住宅地、商業地のそれぞれにおいて主な個別的\n要因として例示されている。\nホ 交通接近性に関しては、住宅地においては「交通施設との距離」、商業地においては\n「主要交通機関との接近性」、工業地においては「従業員の通勤等のための主要交通機\n関との接近性」と、それぞれ異なる表現で主な個別的要因として例示されている。","イとロとハ","イとハとニ","イとニとホ","ロとハとホ","ロとニとホ",4,,,,,,5,2025-11-08T00:00:00Z
r07-045,2025,令和,7,不動産鑑定士 短答,不動産の鑑定評価に関する理論,埋蔵文化財,5,"不動産鑑定評価基準及び同運用上の留意事項に記載されている、埋蔵文化財の\n有無及びその状態に関する次のイからホまでの記述のうち、正しいものをすべて掲げた組合\nせはどれか。\nイ 埋蔵文化財の有無及びその状態に関し、特に留意する必要がある事項として、「対象\n不動産が文化財保護法に規定する周知の埋蔵文化財包蔵地に含まれるか否か」、「埋蔵\n文化財の記録作成のための発掘調査、試掘調査等の措置が指示されているか否か」が記\n載されている。\nロ 埋蔵文化財の有無及びその状態に関し、特に留意する必要がある事項として、「埋蔵\n文化財が現に存することが既に判明しているか否か」は記載されているが、「過去に完\n了している発掘調査等の履歴及び措置の状況」は、価格に影響を及ぼさないことから、\n記載されていない。\nハ 工業地の個別的要因の主なものとして、「埋蔵文化財の有無及びその状態」は記載さ\nれていない。\nニ 「埋蔵文化財の有無及びその状態」は、不動産鑑定士の通常の調査の範囲で判断する\n必要があるため、対象不動産の価格への影響の程度を判断するための事実の確認が困難\nな特定の価格形成要因として記載されていない。\nホ 埋蔵文化財の有無及びその状態に関し、特に留意する必要がある事項として、「重要\nな遺跡が発見され、保護のための調査が行われる場合には、土木工事等の停止又は禁止\nの期間、設計変更の要否等」が記載されている。","イとロ","イとホ","ロとニ","ハとニ","ハとホ",2,,,,,,6,2025-11-08T00:00:00Z
r07-046,2025,令和,7,不動産鑑定士 短答,不動産の鑑定評価に関する理論,不動産の価格に関する諸原則,6,"「不動産の価格に関する諸原則」に関する次のイからホまでの記述のうち、正\nしいものをすべて掲げた組合せはどれか。\nイ 不動産の価格に関する諸原則は、一般の経済法則とは性質を異にし、鑑定評価独自の\n立場から表現したものである。\nロ 不動産の価格は、需要と供給との相互関係によって定まるのであるが、不動産は他の\n財と異なる自然的特性及び人文的特性を有するために、その需要と供給及び価格の形成\nには、これらの特性の反映が認められる。\nハ 不動産の価格は、代替可能な他の不動産の価格と相互に関連して形成されるが、不動\n産は固有の特性を有することから、他の財の価格とは相互に関連しない。\nニ 最有効使用は、現実の社会経済情勢の下で客観的にみて、良識と通常の使用能力を持\nつ人による合理的かつ合法的な最高最善の使用方法に基づくものである。\nホ 不動産の最有効使用を判定するためには、その構成要素の組合せが均衡を得ているか\nどうかを分析する必要があるが、価格形成要因の相互因果関係の組合せの流れである変\n動の過程については、分析を要しない。","イとロ","イとハ","ロとニ","ハとホ","ニとホ",3,,,,,,7,2025-11-08T00:00:00Z
r07-047,2025,令和,7,不動産鑑定士 短答,不動産の鑑定評価に関する理論,価格時点,7,"価格時点に関する次のイからホまでの記述のうち、正しいものをすべて掲げた\n組合せはどれか。\nイ 不動産鑑定評価基準によれば、過去時点及び将来時点の鑑定評価は限定的に認められ\nているが、現在を起点として前後１年間の範囲とされている。\nロ 取引事例に係る取引の時点が価格時点と異なることにより、その間に価格水準の変動\nがあると認められるときは、当該事例の価格を価格時点の価格に修正しなければならな\nい。\nハ 価格時点は、実地調査を行った年月日を基準として現在時点、過去時点及び将来時点\nに分けられる。\nニ 未竣工建物等鑑定評価は、当該建物等の工事が完了し、その使用収益が可能な状態で\nあることを前提として鑑定評価を行うものであり、将来時点の鑑定評価となる。\nホ 借地借家法第 11 条第１項又は第 32 条第１項に基づき賃料の増減が請求される場合、\n賃料増減請求に係る賃料改定の基準日が価格時点となる。","イとハ","イとホ","ロとニ","ロとホ","ハとニ",4,,,,,,8,2025-11-08T00:00:00Z
r07-048,2025,令和,7,不動産鑑定士 短答,不動産の鑑定評価に関する理論,価格の種類,8,"次のイからホまでの記述のうち、価格の種類が「正常価格」となる可能性があ\nる鑑定評価の例示として、誤っているものをすべて掲げた組合せはどれか。\nイ 借地権設定者が借地権の併合を目的とする売買に関連する場合\nロ 個人が自己資金のみで購入することを前提にマンション１戸の経済価値を求める場合\nハ 市場性を有する不動産について、現実の社会経済情勢の下で合理的と考えられる条件\nを満たす市場概念の下において新たな賃貸借の契約において成立するであろう用益の対\n価を求める場合\nニ 特定の当事者間における不動産の売買に関連する場合\nホ 対象不動産の取得に際し必要となる情報が、価格時点以降に初めて市場に公開される\n状況を想定する場合","イとロ","イとホ","ロとニ","ハとニ","ハとホ",5,,,,,,8,2025-11-08T00:00:00Z
r07-049,2025,令和,7,不動産鑑定士 短答,不動産の鑑定評価に関する理論,鑑定評価の基本的事項,9,"鑑定評価の基本的事項に関する次の記述のうち、正しいものはどれか。","「現実の社会経済情勢の下で合理的と考えられる条件を満たす市場」の要件の１つに、\n売り急ぎ、買い進み等をもたらす特別な動機のないことが挙げられているため、売買希\n望価格は正常価格を求める鑑定評価の参考とはならない。","不動産と取得する他の不動産との併合又は不動産の一部を取得する際の分割を前提と\nする鑑定評価においては、価格の種類が限定価格となる場合があるが、併合と分割の両\n方を同時に行うことを前提とする鑑定評価を行うことはできない。","不動産の賃貸借等の継続に係る特定の当事者間において成立するであろう経済価値を\n適正に表示する賃料は、特定賃料である。","対象確定条件の設定に当たっては、鑑定評価書の利用者の利益を害するおそれがない\nかどうかの観点からの確認が必要となるが、実現性及び合法性の観点まで求められるこ\nとはない。","投資法人等が投資対象資産を譲渡する場合の鑑定評価で求める価格は、特定価格とは\nならない。",5,,,,,,9,2025-11-08T00:00:00Z
r07-050,2025,令和,7,不動産鑑定士 短答,不動産の鑑定評価に関する理論,地域分析,10,"近隣地域の地域分析に関する次の記述のうち、誤っているものはどれか。","対象不動産の存する近隣地域の明確化及びその近隣地域の特性の把握に当たっては、\n対象不動産を中心に外延的に広がる地域について、対象不動産に係る市場の特性を踏ま\nえて地域要因をくり返し調査分析しなければならない。","近隣地域の地域分析に当たっては、日常から広域的な地域に係る要因資料の収集、分\n析に努めなければならない。","見込地及び移行地については、特に周辺地域の地域要因の変化の推移、動向がそれら\nの土地の変化の動向予測に当たって有効な資料となる。","近隣地域の範囲の判定に当たっては、基本的な土地利用形態や土地利用上の利便性等\nに影響を及ぼす事項に留意すべきであり、例えば、川幅の広い河川等は地域の一体性を\n分断する場合がある。","地域分析に当たって特に重要な地域は、用途的観点から区分される地域、すなわち近\n隣地域と、近隣地域と相関関係にあるより広域的な地域、すなわち同一需給圏である。",5,,,,,,9,2025-11-08T00:00:00Z
