id,year,era,era_year,exam,subject,topic,question_no,statement,choice1,choice2,choice3,choice4,choice5,answer,explanation,law_citations,difficulty,tags,source_page,updated_at
r08-001,2026,令和,8,single_select,不動産に関する行政法規,土地基本法,1,土地基本法に関する次の記述のうち、正しいものはどれか。,国は、適正な地価の形成及び課税の適正化に資するため、土地の正常な価格を公示するとともに、公的土地評価について相互の均衡と適正化が図られるように努めるものとされている。,国は、土地の投機的取引及び地価の高騰が国民生活に及ぼす弊害を除去し、適正な地価の形成に資するため、土地取引の規制に関する措置その他必要な措置を講じるよう努めなければならない。,政府は、土地に関する施策を実施するため必要な法制上、財政上及び金融上の措置を講じるよう努めなければならない。,事業者は、土地の利用及び管理並びに取引（これを支援する行為を含む。）に当たっては、土地についての基本理念を尊重するとともに、国及び地方公共団体が実施する土地に関する施策に協力するよう努めなければならない。,国及び地方公共団体は、土地に関する施策の円滑な実施に資するため、個人の権利利益の保護に配慮しつつ、国民に対し、地籍、土地の利用及び管理の状況、不動産市場の動向等の土地に関する情報を提供しなければならない。,1,,,,,,2026-05-23T00:00:00Z
r08-002,2026,令和,8,combo_iroha,不動産に関する行政法規,不動産の鑑定評価に関する法律,2,不動産の鑑定評価に関する法律に関する次のイからホまでの記述のうち、正しいものの組合せはどれか。\n</border>イ 不動産鑑定士が不当な鑑定評価等を行ったことを疑うに足りる事実があるときは、何人も、国土交通大臣又は当該不動産鑑定士がその業務に従事する不動産鑑定業者が登録を受けた都道府県知事に対し、資料を添えてその事実を報告し、適当な措置をとるべきことを求めることができる。\n</border>ロ 不動産鑑定士でない不動産鑑定業者は、その事務所ごとに専任の不動産鑑定士を２人以上置かなければならない。\n</border>ハ 不動産鑑定業者の登録の有効期間は ３年である。\n</border>ニ 鑑定評価等業務を行うことを禁止する懲戒処分を受けた不動産鑑定士が、その処分に違反して、鑑定評価等業務を行った場合は、20 万円以下の過料に処される。\n</border>ホ 不動産鑑定士は、正当な理由がなく、鑑定評価等業務に関して知り得た秘密を他に漏らしてはならない。不動産鑑定士でなくなった後においても、同様である。,イとロ,イとホ,ロとニ,ハとニ,ハとホ,2,,,,,,2026-05-23T00:00:00Z
r08-003,2026,令和,8,single_select,不動産に関する行政法規,不動産の鑑定評価に関する法律,3,不動産の鑑定評価に関する法律（以下この問において「法」という。）に関する次の記述のうち、正しいものはどれか。,法は不動産の鑑定評価に関し、不動産鑑定士及び不動産鑑定業について必要な事項を定め、もって土地等の取引の円滑化に資することを目的としている。,法における「不動産の鑑定評価」とは、土地又は建物の経済価値を判定し、その結果を価額に表示することであり、土地又は建物に関する地上権等の権利は「不動産の鑑定評価」の対象に含まれない。,不動産鑑定業者は、依頼者の求めに応じ不動産の鑑定評価を行った際は、鑑定評価額等を記載した鑑定評価書を交付しなければならない。,拘禁刑以上の刑に処せられたことにより不動産鑑定士の登録を消除された者は、その執行を終わり、又は執行を受けることがなくなった日から １年以上を経過すれば、再び登録を受けることができる。,森林を道路の用地として買収するために行う、当該森林の価格についての鑑定評価は、この法律にいう不動産の鑑定評価に含まれない。,3,,,,,,2026-05-23T00:00:00Z
r08-004,2026,令和,8,single_select,不動産に関する行政法規,地価公示法,4,地価公示法（以下この問において「法」という。）に関する次の記述のうち、正しいものはどれか。,法は、都市及びその周辺の地域等において、標準地を選定し、その正常な価格を公示することにより、一般の土地の取引価格に対して指標を与え、土地取引を促進することを目的としている。,「正常な価格」とは、土地について、自由な取引が行われるとした場合において通常成立すると認められる価格をいい、当該土地に地上権その他当該土地の使用若しくは収益を制限する権利が存する場合には、これらの権利が存するものとして通常成立すると認められる価格をいう。,「公示区域」とは、都市計画法第 ４条第２項に規定する都市計画区域をいう。,不動産鑑定士は、公示区域内の土地について鑑定評価を行う場合において、当該土地の正常な価格を求めるときは、法の規定により公示された標準地の価格を規準としなければならない。,不動産鑑定士は、土地鑑定委員会の求めに応じて標準地の鑑定評価を行うに当たっては、近傍類地の取引価格から算定される推定の価格、近傍類地の地代等から算定される推定の価格及び同等の効用を有する土地の造成に要する推定の費用の額のうち、少なくとも ２つを勘案しなければならない。,4,,,,,,2026-05-23T00:00:00Z
r08-005,2026,令和,8,single_select,不動産に関する行政法規,国土利用計画法,5,国土利用計画法（以下この問において「法」という。）に関する次の記述のうち、正しいものはどれか。,注視区域に所在する土地について土地に関する権利を有している者は、法第 27 条の４第 １項の規定による届出をした場合において、勧告を受けたときは、都道府県知事に対し、当該土地に関する権利を買い取るべきことを請求することができる。,"監視区域に指定された、都市計画法第 ７条第 １項に規定する市街化区域に所在する 3,000 平方メートルの土地を所有する Ａは、これを一団の土地としてＢ、Ｃ、Ｄにそれぞれ 1,000 平方メートルずつに分割して売却した。この場合、土地取引の当事者である Ａ、Ｂ、Ｃ、Ｄは、契約の締結前に、予定対価の額や土地の利用目的などを都道府県知事に届け出なければならない。",都道府県知事は、法第 23 条に基づく事後届出に係る土地に関する権利の移転又は設定後における土地の利用目的に従った土地利用が、土地利用基本計画その他の土地利用に関する計画に適合せず、地域の適正かつ合理的な土地利用を図るため著しい支障があると認めるときは、届出のあった日から ２週間以内に限り、その届出をした者に対し、土地の利用目的について必要な変更をすべきことを勧告することができる。,"規制区域に指定された、市街化調整区域に所在する 6,000 平方メートルの農地を購入しようとする Ｅは、法第 14 条に定める契約締結前の都道府県知事による許可を受けた場合、農地法第 ３条第 １項に基づく農業委員会の許可を受ける必要はない。","Ｆは、都市計画区域外に所在する 12,000 平方メートルの土地を相続により取得し、さらに、当該土地にＧが抵当権を設定した。このとき、Ｆ及びＧは法第 23 条に基づく事後届出を行う必要がある。",2,,,,,,2026-05-23T00:00:00Z
r08-006,2026,令和,8,single_select,不動産に関する行政法規,都市計画法,6,都市計画法に関する次の記述のうち、誤っているものはどれか。,特別用途地区は、用途地域内の一定の地区における当該地区の特性にふさわしい土地利用の増進、環境の保護等の特別の目的の実現を図るため当該用途地域の指定を補完して定める地区とする。,特定街区は、市街地の整備改善を図るため街区の整備又は造成が行われる地区について、その街区内における建築物の高さの最低限度及び壁面の位置の制限を定める街区とする。,高度地区は、用途地域内において市街地の環境を維持し、又は土地利用の増進を図るため、建築物の高さの最高限度又は最低限度を定める地区とする。,開発整備促進区は、第二種住居地域、準住居地域若しくは工業地域が定められている土地の区域又は用途地域が定められていない土地の区域（市街化調整区域を除く。）において定めることができる。,再開発等促進区又は開発整備促進区を定める地区計画においては、道路又は公園、緑地、広場その他の公共空地（都市計画施設及び地区施設を除く。）の配置及び規模を定めるものとされている。,2,,,,,,2026-05-23T00:00:00Z
r08-007,2026,令和,8,combo_iroha,不動産に関する行政法規,都市計画法,7,次のイからホまでに関する都市計画のうち、都市計画法の規定に照らし、都道府県が定めるものとして正しいものの組合せはどれか。\n</border>イ 都市再開発方針等\n</border>ロ 特別用途地区\n</border>ハ 都市再生特別地区\n</border>ニ 防火地域\n</border>ホ 土地区画整理促進区域,イとロ,イとハ,ロとニ,ハとホ,ニとホ,2,,,,,,2026-05-23T00:00:00Z
r08-008,2026,令和,8,combo_iroha,不動産に関する行政法規,都市計画法,8,都市計画法に関する次のイからホまでの記述のうち、正しいものの組合せはどれか。\n</border>イ 都市計画事業の認可等の告示があった後においては、当該事業地内において、都市計画事業の施行の障害となるおそれがある土地の形質の変更を行おうとする者は、都道府県知事等に届け出なければならない。\n</border>ロ 国の機関は、国土交通大臣の承認を受けて、国の利害に重大な関係を有する都市計画事業を施行することができる。\n</border>ハ 施行予定者が定められている都市計画に係る都市計画施設の整備に関する事業及び市街地開発事業は、当該施行予定者の同意を得た者であれば、施行することができる。\n</border>ニ 認可又は承認を受けた、都市計画事業の事業計画を変更しようとする者は、都道府県にあっては国土交通大臣の認可を受けなければならない。\n</border>ホ 都市計画事業については、都市計画事業の認可又は承認に加え、土地収用法の規定による事業の認定が必要とされている。,イとロ,イとハ,ロとニ,ハとホ,ニとホ,3,,,,,,2026-05-23T00:00:00Z
r08-009,2026,令和,8,single_select,不動産に関する行政法規,都市計画法,9,都市計画法に関する次の記述のうち、誤っているものはどれか。,都道府県は、都市計画区域を指定しようとするときは、あらかじめ、関係市町村及び都道府県都市計画審議会の意見を聴くとともに、国土交通大臣に報告しなければならない。,市町村は、議会の議決を経て定められた当該市町村の建設に関する基本構想並びに都市計画区域の整備、開発及び保全の方針に即し、当該市町村の都市計画に関する基本的な方針を定めるものとする。,都市計画に定める地区計画等の案は、意見の提出方法等について条例で定めるところにより、その案に係る区域内の土地の所有者その他利害関係を有する者の意見を求めて作成するものとする。,市街地開発事業等予定区域に関する都市計画において定められた区域内において、都市計画事業の施行として行う行為として、土地の形質の変更を行い、又は建築物の建築その他工作物の建設を行おうとする者は、都道府県知事等の許可を受ける必要はない。,都市計画事業の施行に必要な土地等を提供したため生活の基礎を失うこととなる者は、その受ける補償と相まって実施されることを必要とする場合においては、生活再建のための措置として宅地や住宅の取得等に関することのあっせんを施行者に申し出ることができる。,1,,,,,,2026-05-23T00:00:00Z
r08-010,2026,令和,8,combo_iroha,不動産に関する行政法規,都市計画法,10,"都市計画法に関する次のイからホまでの記述のうち、開発許可を受ける必要がある開発行為の組合せとして正しいものはどれか。ただし、許可を受ける必要がある開発行為の規模について、条例による定めはないものとする。\n</border>イ 区域区分が定められていない都市計画区域内において、図書館法に規定する図書館の用に供する目的で行う 2,000 平方メートルの開発行為\n</border>ロ 市街化調整区域内において、農作物の販売に必要な建築物の建築の用に供する目的で行う 3,000 平方メートルの開発行為\n</border>ハ 都市計画区域内及び準都市計画区域外の区域内において、漁業を営む者の居住の用に供する建築物の建築の用に供する目的で行う 1,000 平方メートルの開発行為\n</border>ニ 市街化調整区域内において、開発区域周辺の居住者の日常生活のため必要な物品の販売業務を営む店舗の建築の用に供する目的で行う 500 平方メートルの開発行為\n</border>ホ 市街化区域内において、市街地再開発事業の施行として行う 4,000 平方メートルの開発行為",イとロ,イとハ,ロとニ,ハとホ,ニとホ,3,,,,,,2026-05-23T00:00:00Z
